[INFO] (00:00:0005): compiling base_vs.hlsl, type: vs
[INFO] (00:00:0098): compiling base_ps.hlsl, type: ps
[INFO] (00:00:0126): compiling brush_grid.hlsl, type: cs
[INFO] (00:00:0136): compiling add_brush.hlsl, type: cs
[INFO] (00:16:0264): compiling base_ps.hlsl, type: ps
[INFO] (00:16:0288): re-compiled shader base_ps.hlsl successfully
[INFO] (00:21:0124): compiling base_ps.hlsl, type: ps
[INFO] (00:21:0169): re-compiled shader base_ps.hlsl successfully
[INFO] (00:21:0173): compiling base_ps.hlsl, type: ps
[INFO] (00:21:0199): re-compiled shader base_ps.hlsl successfully
[INFO] (00:45:0200): compiling base_ps.hlsl, type: ps
[INFO] (00:45:0239): re-compiled shader base_ps.hlsl successfully
[INFO] (00:51:0381): compiling base_ps.hlsl, type: ps
[INFO] (00:51:0410): re-compiled shader base_ps.hlsl successfully
[INFO] (00:59:0218): compiling base_ps.hlsl, type: ps
[INFO] (00:59:0256): re-compiled shader base_ps.hlsl successfully
[INFO] (01:04:0531): compiling base_ps.hlsl, type: ps
[INFO] (01:04:0558): re-compiled shader base_ps.hlsl successfully
[INFO] (01:06:0931): compiling base_ps.hlsl, type: ps
[INFO] (01:06:0965): re-compiled shader base_ps.hlsl successfully
[INFO] (01:56:0432): compiling base_ps.hlsl, type: ps
[INFO] (01:56:0461): re-compiled shader base_ps.hlsl successfully
[INFO] (02:24:0632): compiling base_ps.hlsl, type: ps
[INFO] (02:24:0659): re-compiled shader base_ps.hlsl successfully
[INFO] (02:55:0100): compiling base_ps.hlsl, type: ps
[INFO] (02:55:0133): re-compiled shader base_ps.hlsl successfully
[INFO] (03:17:0817): compiling base_ps.hlsl, type: ps
[INFO] (03:17:0851): re-compiled shader base_ps.hlsl successfully
[INFO] (03:21:0895): compiling base_ps.hlsl, type: ps
[INFO] (03:21:0925): re-compiled shader base_ps.hlsl successfully
[INFO] (03:21:0934): compiling base_ps.hlsl, type: ps
[INFO] (03:21:0964): re-compiled shader base_ps.hlsl successfully
[INFO] (04:12:0186): compiling base_ps.hlsl, type: ps
[INFO] (04:12:0224): re-compiled shader base_ps.hlsl successfully
[INFO] (08:03:0136): compiling base_ps.hlsl, type: ps
[INFO] (08:03:0172): re-compiled shader base_ps.hlsl successfully
[INFO] (08:04:0469): compiling base_ps.hlsl, type: ps
[INFO] (08:04:0498): re-compiled shader base_ps.hlsl successfully
[INFO] (08:11:0919): compiling base_ps.hlsl, type: ps
[INFO] (08:11:0955): re-compiled shader base_ps.hlsl successfully
[INFO] (08:13:0988): compiling base_ps.hlsl, type: ps
[INFO] (08:14:0022): re-compiled shader base_ps.hlsl successfully
[INFO] (08:16:0553): compiling base_ps.hlsl, type: ps
[INFO] (08:16:0578): re-compiled shader base_ps.hlsl successfully
[INFO] (08:24:0719): compiling base_ps.hlsl, type: ps
[INFO] (08:24:0746): re-compiled shader base_ps.hlsl successfully
[INFO] (08:33:0403): compiling base_ps.hlsl, type: ps
[INFO] (08:33:0429): re-compiled shader base_ps.hlsl successfully
[INFO] (10:10:0964): saved screenshot as screenshots/screenshot_012.png
[INFO] (10:12:0189): saved screenshot as screenshots/screenshot_013.png
