[INFO] (00:00:0006): compiling base_vs.hlsl, type: vs
[INFO] (00:00:0076): compiling base_ps.hlsl, type: ps
[INFO] (00:00:0111): compiling brush_grid.hlsl, type: cs
[INFO] (00:00:0123): compiling add_brush.hlsl, type: cs
[INFO] (00:11:0894): compiling base_ps.hlsl, type: ps
[INFO] (00:11:0915): re-compiled shader base_ps.hlsl successfully
[INFO] (00:24:0462): compiling base_ps.hlsl, type: ps
[INFO] (00:24:0482): re-compiled shader base_ps.hlsl successfully
[INFO] (00:29:0287): compiling base_ps.hlsl, type: ps
[INFO] (00:29:0315): re-compiled shader base_ps.hlsl successfully
[INFO] (00:38:0805): compiling base_ps.hlsl, type: ps
[INFO] (00:38:0826): re-compiled shader base_ps.hlsl successfully
[INFO] (00:44:0088): compiling base_ps.hlsl, type: ps
[INFO] (00:44:0117): re-compiled shader base_ps.hlsl successfully
[INFO] (00:54:0615): compiling base_ps.hlsl, type: ps
[INFO] (00:54:0633): re-compiled shader base_ps.hlsl successfully
[INFO] (01:01:0351): compiling base_ps.hlsl, type: ps
[INFO] (01:01:0374): re-compiled shader base_ps.hlsl successfully
[INFO] (01:04:0211): compiling base_ps.hlsl, type: ps
[INFO] (01:04:0229): re-compiled shader base_ps.hlsl successfully
[INFO] (01:06:0308): compiling base_ps.hlsl, type: ps
[INFO] (01:06:0334): re-compiled shader base_ps.hlsl successfully
[INFO] (01:09:0912): compiling base_ps.hlsl, type: ps
[INFO] (01:09:0937): re-compiled shader base_ps.hlsl successfully
[INFO] (09:19:0555): compiling base_ps.hlsl, type: ps
[INFO] (09:19:0575): re-compiled shader base_ps.hlsl successfully
[INFO] (11:18:0742): compiling base_ps.hlsl, type: ps
[INFO] (11:18:0768): re-compiled shader base_ps.hlsl successfully
