[INFO] (00:00:0006): compiling base_vs.hlsl, type: vs
[INFO] (00:00:0509): compiling base_ps.hlsl, type: ps
[INFO] (00:00:0544): compiling sculpt_cs.hlsl, type: cs
[INFO] (00:00:0563): compiling gen_brush_cs.hlsl, type: cs
[INFO] (00:00:0572): compiling empty_texture_cs.hlsl, type: cs
[INFO] (00:00:0694): GPU TIMER [Sculpt] time passed: 1.511ms
[INFO] (00:25:0364): compiling base_ps.hlsl, type: ps
[INFO] (00:25:0400): re-compiled shader base_ps.hlsl successfully
[INFO] (00:48:0214): compiling base_ps.hlsl, type: ps
[INFO] (00:48:0248): re-compiled shader base_ps.hlsl successfully
[INFO] (00:55:0564): compiling base_ps.hlsl, type: ps
[INFO] (00:55:0589): re-compiled shader base_ps.hlsl successfully
[INFO] (01:30:0768): compiling base_ps.hlsl, type: ps
[INFO] (01:30:0809): re-compiled shader base_ps.hlsl successfully
[INFO] (01:41:0165): compiling base_ps.hlsl, type: ps
[INFO] (01:41:0196): re-compiled shader base_ps.hlsl successfully
[INFO] (01:45:0648): compiling base_ps.hlsl, type: ps
[INFO] (01:45:0670): re-compiled shader base_ps.hlsl successfully
[INFO] (01:45:0704): compiling base_ps.hlsl, type: ps
[INFO] (01:45:0744): re-compiled shader base_ps.hlsl successfully
