[INFO] (00:00:0005): compiling base_vs.hlsl, type: vs
[INFO] (00:00:0171): compiling base_ps.hlsl, type: ps
[INFO] (00:00:0242): compiling brush_grid.hlsl, type: cs
[INFO] (00:00:0280): compiling add_brush.hlsl, type: cs
[INFO] (00:12:0144): compiling base_ps.hlsl, type: ps
[INFO] (00:12:0169): re-compiled shader base_ps.hlsl successfully
[INFO] (00:31:0544): compiling base_ps.hlsl, type: ps
[INFO] (00:31:0574): re-compiled shader base_ps.hlsl successfully
[INFO] (00:35:0559): compiling base_ps.hlsl, type: ps
[INFO] (00:35:0583): re-compiled shader base_ps.hlsl successfully
[INFO] (01:49:0559): compiling base_ps.hlsl, type: ps
[INFO] (01:49:0567): re-compiled shader base_ps.hlsl successfully
[INFO] (01:58:0724): compiling base_ps.hlsl, type: ps
[INFO] (01:58:0744): re-compiled shader base_ps.hlsl successfully
[INFO] (02:45:0010): compiling base_ps.hlsl, type: ps
[INFO] (02:45:0033): re-compiled shader base_ps.hlsl successfully
[INFO] (05:05:0745): compiling base_ps.hlsl, type: ps
[INFO] (05:05:0769): re-compiled shader base_ps.hlsl successfully
[INFO] (05:23:0061): compiling base_ps.hlsl, type: ps
[INFO] (05:23:0087): re-compiled shader base_ps.hlsl successfully
[INFO] (05:28:0579): compiling base_ps.hlsl, type: ps
[INFO] (05:28:0612): re-compiled shader base_ps.hlsl successfully
[INFO] (05:33:0013): compiling base_ps.hlsl, type: ps
[INFO] (05:33:0033): re-compiled shader base_ps.hlsl successfully
[INFO] (05:35:0416): compiling base_ps.hlsl, type: ps
[INFO] (05:35:0436): re-compiled shader base_ps.hlsl successfully
[INFO] (05:36:0481): compiling base_ps.hlsl, type: ps
[INFO] (05:36:0517): re-compiled shader base_ps.hlsl successfully
[INFO] (05:37:0613): compiling base_ps.hlsl, type: ps
[INFO] (05:37:0636): re-compiled shader base_ps.hlsl successfully
[INFO] (05:41:0464): compiling base_ps.hlsl, type: ps
[INFO] (05:41:0494): re-compiled shader base_ps.hlsl successfully
[INFO] (05:47:0731): compiling base_ps.hlsl, type: ps
[INFO] (05:47:0751): re-compiled shader base_ps.hlsl successfully
[INFO] (16:58:0671): compiling base_ps.hlsl, type: ps
[INFO] (16:58:0694): re-compiled shader base_ps.hlsl successfully
[INFO] (17:00:0689): compiling base_ps.hlsl, type: ps
[INFO] (17:00:0711): re-compiled shader base_ps.hlsl successfully
[INFO] (17:09:0987): compiling base_ps.hlsl, type: ps
[INFO] (17:10:0008): re-compiled shader base_ps.hlsl successfully
[INFO] (17:19:0804): compiling base_ps.hlsl, type: ps
[INFO] (17:19:0828): re-compiled shader base_ps.hlsl successfully
[INFO] (17:24:0720): compiling base_ps.hlsl, type: ps
[INFO] (17:24:0740): re-compiled shader base_ps.hlsl successfully
