[INFO] (00:00:0006): compiling base_vs.hlsl, type: vs
[INFO] (00:01:0050): compiling base_ps.hlsl, type: ps
[INFO] (00:01:0092): compiling sculpt_cs.hlsl, type: cs
[INFO] (00:01:0118): compiling gen_brush_cs.hlsl, type: cs
[INFO] (00:01:0128): compiling empty_texture_cs.hlsl, type: cs
[INFO] (00:01:0258): GPU TIMER [Sculpt] time passed: 1.336ms
[INFO] (00:06:0194): compiling base_ps.hlsl, type: ps
[INFO] (00:06:0218): re-compiled shader base_ps.hlsl successfully
[INFO] (00:27:0279): compiling base_ps.hlsl, type: ps
[INFO] (00:27:0313): re-compiled shader base_ps.hlsl successfully
[INFO] (00:57:0635): compiling base_ps.hlsl, type: ps
[INFO] (00:57:0671): re-compiled shader base_ps.hlsl successfully
[INFO] (00:57:0684): compiling base_ps.hlsl, type: ps
[INFO] (00:57:0711): re-compiled shader base_ps.hlsl successfully
[INFO] (01:06:0514): compiling base_ps.hlsl, type: ps
[INFO] (01:06:0539): re-compiled shader base_ps.hlsl successfully
[INFO] (01:57:0046): compiling base_ps.hlsl, type: ps
[INFO] (01:57:0071): re-compiled shader base_ps.hlsl successfully
[INFO] (02:10:0729): compiling base_ps.hlsl, type: ps
[INFO] (02:10:0754): re-compiled shader base_ps.hlsl successfully
[INFO] (02:25:0182): compiling base_ps.hlsl, type: ps
[INFO] (02:25:0223): re-compiled shader base_ps.hlsl successfully
[INFO] (02:29:0196): compiling base_ps.hlsl, type: ps
[INFO] (02:29:0217): re-compiled shader base_ps.hlsl successfully
[INFO] (02:32:0797): compiling base_ps.hlsl, type: ps
[INFO] (02:32:0819): re-compiled shader base_ps.hlsl successfully
[INFO] (02:35:0581): compiling base_ps.hlsl, type: ps
[INFO] (02:35:0614): re-compiled shader base_ps.hlsl successfully
[INFO] (02:44:0246): compiling base_ps.hlsl, type: ps
[INFO] (02:44:0270): re-compiled shader base_ps.hlsl successfully
[INFO] (02:59:0485): compiling base_ps.hlsl, type: ps
[INFO] (02:59:0524): re-compiled shader base_ps.hlsl successfully
[INFO] (03:16:0548): compiling base_ps.hlsl, type: ps
[INFO] (03:16:0576): re-compiled shader base_ps.hlsl successfully
[INFO] (03:37:0131): compiling base_ps.hlsl, type: ps
[INFO] (03:37:0160): re-compiled shader base_ps.hlsl successfully
[INFO] (04:09:0084): compiling base_ps.hlsl, type: ps
[ERROR](04:09:0091): couldn't compile shader base_ps.hlsl
[ERROR](04:09:0091): \\StuHomeOdd\HomeDrive1$\1902881\cmp400_honours\Shader@0x000001C9BDF68510(77,7-13): error X3004: undeclared identifier 'closest'

[INFO] (04:27:0731): compiling base_ps.hlsl, type: ps
[INFO] (04:27:0755): re-compiled shader base_ps.hlsl successfully
[INFO] (05:00:0000): compiling base_ps.hlsl, type: ps
[INFO] (05:00:0032): re-compiled shader base_ps.hlsl successfully
[INFO] (05:24:0624): compiling base_ps.hlsl, type: ps
[INFO] (05:24:0666): re-compiled shader base_ps.hlsl successfully
[INFO] (05:52:0615): compiling base_ps.hlsl, type: ps
[INFO] (05:52:0647): re-compiled shader base_ps.hlsl successfully
[INFO] (06:12:0417): compiling base_ps.hlsl, type: ps
[INFO] (06:12:0439): re-compiled shader base_ps.hlsl successfully
[INFO] (06:23:0638): compiling base_ps.hlsl, type: ps
[INFO] (06:23:0671): re-compiled shader base_ps.hlsl successfully
[INFO] (07:17:0717): compiling base_ps.hlsl, type: ps
[INFO] (07:17:0738): re-compiled shader base_ps.hlsl successfully
[INFO] (07:45:0096): reloading options
[INFO] (07:45:0119): reloading options
[INFO] (07:51:0317): compiling base_ps.hlsl, type: ps
[INFO] (07:51:0358): re-compiled shader base_ps.hlsl successfully
[INFO] (08:21:0644): compiling base_ps.hlsl, type: ps
[INFO] (08:21:0680): re-compiled shader base_ps.hlsl successfully
[INFO] (08:47:0380): compiling base_ps.hlsl, type: ps
[INFO] (08:47:0410): re-compiled shader base_ps.hlsl successfully
[INFO] (09:17:0487): compiling base_ps.hlsl, type: ps
[INFO] (09:17:0515): re-compiled shader base_ps.hlsl successfully
[INFO] (09:17:0520): compiling base_ps.hlsl, type: ps
[INFO] (09:17:0541): re-compiled shader base_ps.hlsl successfully
[INFO] (09:37:0325): compiling base_ps.hlsl, type: ps
[INFO] (09:37:0355): re-compiled shader base_ps.hlsl successfully
[INFO] (09:56:0224): compiling base_ps.hlsl, type: ps
[INFO] (09:56:0252): re-compiled shader base_ps.hlsl successfully
[INFO] (09:56:0262): compiling base_ps.hlsl, type: ps
[INFO] (09:56:0290): re-compiled shader base_ps.hlsl successfully
[INFO] (10:20:0046): compiling base_ps.hlsl, type: ps
[INFO] (10:20:0103): re-compiled shader base_ps.hlsl successfully
[INFO] (10:25:0519): compiling base_ps.hlsl, type: ps
[INFO] (10:25:0544): re-compiled shader base_ps.hlsl successfully
[INFO] (10:32:0289): compiling base_ps.hlsl, type: ps
[INFO] (10:32:0322): re-compiled shader base_ps.hlsl successfully
[INFO] (10:32:0343): compiling base_ps.hlsl, type: ps
[INFO] (10:32:0369): re-compiled shader base_ps.hlsl successfully
[INFO] (10:35:0821): compiling base_ps.hlsl, type: ps
[INFO] (10:35:0855): re-compiled shader base_ps.hlsl successfully
[INFO] (10:37:0964): compiling base_ps.hlsl, type: ps
[INFO] (10:37:0989): re-compiled shader base_ps.hlsl successfully
[INFO] (10:39:0209): compiling base_ps.hlsl, type: ps
[INFO] (10:39:0236): re-compiled shader base_ps.hlsl successfully
[INFO] (10:42:0825): compiling base_ps.hlsl, type: ps
[INFO] (10:42:0853): re-compiled shader base_ps.hlsl successfully
[INFO] (10:46:0664): compiling base_ps.hlsl, type: ps
[INFO] (10:46:0697): re-compiled shader base_ps.hlsl successfully
[INFO] (10:46:0707): compiling base_ps.hlsl, type: ps
[INFO] (10:46:0732): re-compiled shader base_ps.hlsl successfully
[INFO] (11:02:0402): compiling base_ps.hlsl, type: ps
[INFO] (11:02:0429): re-compiled shader base_ps.hlsl successfully
[INFO] (11:05:0637): compiling base_ps.hlsl, type: ps
[INFO] (11:05:0670): re-compiled shader base_ps.hlsl successfully
